i: 361, d: 381, x: 1015
i: 362, d: 382, x: 0
i: 363, d: 383, x: 18768
i: 364, d: 384, x: 4801
i: 365, d: 385, x: 95831
i: 366, d: 386, x: 111555
i: 367, d: 387, x: 3482
i: 368, d: 388, x: 62809633
i: 369, d: 389, x: 3287049
i: 370, d: 390, x: 79
i: 371, d: 391, x: 7338680
i: 372, d: 392, x: 99
i: 373, d: 393, x: 46437143
i: 374, d: 394, x: 0
i: 375, d: 395, x: 159
i: 376, d: 396, x: 199
i: 377, d: 397, x: 0
i: 378, d: 398, x: 399
i: 379, d: 399, x: 20
i: 380, d: 401, x: 801
i: 381, d: 402, x: 401
i: 382, d: 403, x: 669878
i: 383, d: 404, x: 201
i: 384, d: 405, x: 161
i: 385, d: 406, x: 59468095
i: 386, d: 407, x: 2663
i: 387, d: 408, x: 101
i: 388, d: 409, x: 0
i: 389, d: 410, x: 81
i: 390, d: 411, x: 49730
i: 391, d: 412, x: 0
i: 392, d: 413, x: 113399
i: 393, d: 414, x: 24335
i: 394, d: 415, x: 18412804
i: 395, d: 416, x: 5201
i: 396, d: 417, x: 85322647
i: 397, d: 418, x: 33857
i: 398, d: 419, x: 270174970
i: 399, d: 420, x: 41
i: 400, d: 421, x: 0
i: 401, d: 422, x: 7022501
i: 402, d: 423, x: 4607
i: 403, d: 424, x: 32080051
i: 404, d: 425, x: 143649
i: 405, d: 426, x: 88751
i: 406, d: 427, x: 62
i: 407, d: 428, x: 1850887
i: 408, d: 429, x: 1524095
i: 409, d: 430, x: 2862251
i: 410, d: 431, x: 151560720
i: 411, d: 432, x: 1351
i: 412, d: 433, x: 0
i: 413, d: 434, x: 125
i: 414, d: 435, x: 146
i: 415, d: 436, x: 0
i: 416, d: 437, x: 4599
i: 417, d: 438, x: 293
i: 418, d: 439, x: 440
i: 419, d: 440, x: 21
i: 420, d: 442, x: 883
i: 421, d: 443, x: 442
i: 422, d: 444, x: 295
i: 423, d: 445, x: 43468489
i: 424, d: 446, x: 110166015
i: 425, d: 447, x: 148
i: 426, d: 448, x: 127
i: 427, d: 449, x: 0
i: 428, d: 450, x: 19601
i: 429, d: 451, x: 46471490
i: 430, d: 452, x: 1204353
i: 431, d: 453, x: 1653751
i: 432, d: 454, x: 0
i: 433, d: 455, x: 64
